"source","review_status","Freq"
"Invest Vietnam","linked_to_mapped_site",150
"KCN-KKT discovery (unverified)","linked_to_mapped_site",172
"Vietnam Environment Agency (2023)","linked_to_mapped_site",150
"Invest Vietnam","needs_identity_or_location_review",241
"KCN-KKT discovery (unverified)","needs_identity_or_location_review",1088
"Vietnam Environment Agency (2023)","needs_identity_or_location_review",153
