"id","name","area_ha","decision","source_url"
"osm_way_1177836561","Nhà máy Xi măng Bình Phước - VICEM Hà Tiên",70,"unreviewed","https://www.openstreetmap.org/way/1177836561"
"osm_way_483449554","Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao",67,"unreviewed","https://www.openstreetmap.org/way/483449554"
"osm_way_584372263","Cảng Chu Lai",67,"unreviewed","https://www.openstreetmap.org/way/584372263"
"osm_way_588975260","Hyundai Vinashin",67,"unreviewed","https://www.openstreetmap.org/way/588975260"
"osm_way_628382614","Công ty Cổ phần Xi măng VICEM Bút Sơn",67,"unreviewed","https://www.openstreetmap.org/way/628382614"
"osm_way_638294998","Formosa Đồng Nai",66,"unreviewed","https://www.openstreetmap.org/way/638294998"
"osm_way_641548793","Công ty Cổ phần Xi măng Bỉm Sơn",65,"unreviewed","https://www.openstreetmap.org/way/641548793"
"osm_way_648531621","Công ty Xi măng VICEM Hoàng Thạch",65,"unreviewed","https://www.openstreetmap.org/way/648531621"
"osm_way_793226889","KSX Bình Chuẩn",63,"unreviewed","https://www.openstreetmap.org/way/793226889"
"osm_way_519123417","Nhà máy Xử lý Khí Dinh Cố",62,"unreviewed","https://www.openstreetmap.org/way/519123417"
"osm_way_755708794","Cuụm công nghiệp Mỹ Hiệp",61,"unreviewed","https://www.openstreetmap.org/way/755708794"
"osm_way_1327819042","CÔNG TY TNHH CÔNG NGHIỆP JINKO SOLAR VIỆT NAM",61,"unreviewed","https://www.openstreetmap.org/way/1327819042"
"osm_way_1374307494","Công ty TNHH MTV Xi măng Xuân Thành Quảng Nam",60,"unreviewed","https://www.openstreetmap.org/way/1374307494"
"osm_way_631139675","Nhà máy Đóng tàu Nam Triệu",59,"unreviewed","https://www.openstreetmap.org/way/631139675"
"osm_way_396415683","Nhà máy Giấy Bãi Bằng",57,"unreviewed","https://www.openstreetmap.org/way/396415683"
"osm_way_983545570","Nhà máy Nhiệt điện Vũng Áng 1",57,"unreviewed","https://www.openstreetmap.org/way/983545570"
"osm_way_631153204","Công ty Đóng tàu Phà Rừng",56,"unreviewed","https://www.openstreetmap.org/way/631153204"
"osm_way_749605211","Nhà máy xi măng Văn Hóa",56,"unreviewed","https://www.openstreetmap.org/way/749605211"
"osm_way_1317933707","Nhà máy Nhiệt điện Thái Bình 2",55,"unreviewed","https://www.openstreetmap.org/way/1317933707"
"osm_relation_16942144","Nhà máy Nhiệt điện Hải Phòng",55,"unreviewed","https://www.openstreetmap.org/relation/16942144"
"osm_way_640353844","Cảng Trường Thọ",54,"unreviewed","https://www.openstreetmap.org/way/640353844"
"osm_way_1270596860","Kho xăng dầu ngoại quan Vân Phong",54,"unreviewed","https://www.openstreetmap.org/way/1270596860"
"osm_way_892132026","Khu Liên Hợp Gang Thép Nghi Sơn",53,"unreviewed","https://www.openstreetmap.org/way/892132026"
"osm_way_1212825196","Nhà máy đạm Cà Mau",53,"unreviewed","https://www.openstreetmap.org/way/1212825196"
"osm_way_628785654","Nhà máy Xi măng Tây Ninh",52,"unreviewed","https://www.openstreetmap.org/way/628785654"
"osm_way_793537333","Cảng Nghi Sơn",52,"unreviewed","https://www.openstreetmap.org/way/793537333"
"osm_way_595823887","Công ty Samsung Thái Nguyên",51,"unreviewed","https://www.openstreetmap.org/way/595823887"
"osm_way_1317937609","Nhà máy điện Nhơn Trạch 3 & 4",50,"unreviewed","https://www.openstreetmap.org/way/1317937609"
