"id","name_vi","name_en","category","province_en","status","area_ha","geometry_type","part_count","source_url"
"osm_way_693979021","Cụm công nghiệp Ninh Hiệp",NA,"industrial_cluster","Ha Noi","operational",62.0285559361866,"polygon",1,"https://www.openstreetmap.org/way/693979021"
"osm_way_1416954379","Cụm công nghiệp Ô tô Nguyên Khê",NA,"industrial_cluster","Ha Noi","operational",18.7844262876318,"polygon",1,"https://www.openstreetmap.org/way/1416954379"
"osm_way_351035451","Cụm công nghiệp Phú Minh",NA,"industrial_cluster","Ha Noi","operational",34.083057687464,"polygon",1,"https://www.openstreetmap.org/way/351035451"
"osm_way_1189779471","Cụm công nghiệp Phú Thị",NA,"industrial_cluster","Ha Noi","operational",33.6770986849569,"polygon",1,"https://www.openstreetmap.org/way/1189779471"
"osm_way_1389555866","Cụm công nghiệp Phú Thịnh",NA,"industrial_cluster","Ha Noi","operational",8.23546430382029,"polygon",1,"https://www.openstreetmap.org/way/1389555866"
"osm_way_741264059","Cụm công nghiệp Phùng",NA,"industrial_cluster","Ha Noi","operational",35.3434896424689,"polygon",1,"https://www.openstreetmap.org/way/741264059"
"osm_way_1192433611","Cụm công nghiệp Phùng Xá",NA,"industrial_cluster","Ha Noi","operational",11.4883330853739,"polygon",1,"https://www.openstreetmap.org/way/1192433611"
"osm_way_1188779455","Cụm công nghiệp Quất Động",NA,"industrial_cluster","Ha Noi","operational",70.7195287297948,"polygon",1,"https://www.openstreetmap.org/way/1188779455"
"osm_way_1389555862","Cụm công nghiệp Song Phượng",NA,"industrial_cluster","Ha Noi","under_construction",7.08519535542968,"polygon",1,"https://www.openstreetmap.org/way/1389555862"
"osm_way_595927298","Cụm công nghiệp Thanh Oai",NA,"industrial_cluster","Ha Noi","operational",53.7108937781582,"polygon",1,"https://www.openstreetmap.org/way/595927298"
"osm_relation_17036129","Cụm Công nghiệp Thanh Oai - Xuân Đỉnh","Thanh Oai Industrial Cluster - Xuan Dinh Ward","industrial_cluster","Ha Noi","unknown",NA,"point",1,"https://www.openstreetmap.org/relation/17036129"
"osm_way_1370166337","Cụm công nghiệp Thanh Thuỳ",NA,"industrial_cluster","Ha Noi","operational",5.34739974017105,"polygon",1,"https://www.openstreetmap.org/way/1370166337"
"osm_way_1436050210","Cụm công nghiệp thực phẩm Hapro",NA,"industrial_cluster","Ha Noi","operational",25.5471999072623,"polygon",1,"https://www.openstreetmap.org/way/1436050210"
"osm_way_1345355012","Cụm công nghiệp Trường An",NA,"industrial_cluster","Ha Noi","operational",11.3548046845346,"polygon",1,"https://www.openstreetmap.org/way/1345355012"
"osm_way_1389555867","Cụm công nghiệp Vân Hà",NA,"industrial_cluster","Ha Noi","operational",4.93928111271886,"polygon",1,"https://www.openstreetmap.org/way/1389555867"
"osm_way_1345355007","Cụm công nghiệp Võng Xuyên",NA,"industrial_cluster","Ha Noi","under_construction",5.83462905869725,"polygon",1,"https://www.openstreetmap.org/way/1345355007"
"osm_relation_18027474","Cụm công nghiệp vừa và nhỏ Từ Liêm",NA,"industrial_cluster","Ha Noi","operational",63.3270516796759,"polygon",1,"https://www.openstreetmap.org/relation/18027474"
"osm_way_1389555873","Cụm công nghiệp Yên Sơn",NA,"industrial_cluster","Ha Noi","operational",8.3203213223763,"polygon",1,"https://www.openstreetmap.org/way/1389555873"
"osm_way_1230260365","Khu công nghiệp An Ninh",NA,"industrial_park","Ha Noi","operational",8.04740851923011,"polygon",1,"https://www.openstreetmap.org/way/1230260365"
"osm_way_384465529","Khu công nghiệp Bắc Thăng Long",NA,"industrial_park","Ha Noi","operational",296.803388529954,"polygon",1,"https://www.openstreetmap.org/way/384465529"
"osm_relation_12993849","Khu công nghiệp Bắc Thăng Long - Bến xe Gia Lâm","Bac Thang Long Industrial Park - Gia Lam Bus Station","industrial_park","Ha Noi","unknown",NA,"point",1,"https://www.openstreetmap.org/relation/12993849"
"osm_relation_17054991","Khu công nghiệp Bắc Thăng Long - Tiến Thịnh (Mê Linh)","Bac Thang Long Industrial Park - Tien Thinh (Yen Lang Commune)","industrial_park","Ha Noi","unknown",NA,"point",1,"https://www.openstreetmap.org/relation/17054991"
"osm_way_1024692744","Khu công nghiệp Cầu Giáo",NA,"industrial_park","Ha Noi","operational",21.1634488636106,"polygon",1,"https://www.openstreetmap.org/way/1024692744"
"osm_way_637656011","Khu công nghiệp Dương Xá A",NA,"industrial_park","Ha Noi","operational",37.9599273789417,"polygon",1,"https://www.openstreetmap.org/way/637656011"
"osm_way_908338997","Khu công nghiệp Hà Nội - Đài Tư","Hanoi – Dai Tu Industrial Park","industrial_park","Ha Noi","operational",40.0409623439992,"polygon",1,"https://www.openstreetmap.org/way/908338997"
"osm_way_1493788014","Khu công nghiệp Hoàng Mai",NA,"industrial_park","Ha Noi","operational",19.5685648174726,"polygon",2,"https://www.openstreetmap.org/way/1493788014"
"osm_way_676033260","Khu công nghiệp Nam Thăng Long",NA,"industrial_park","Ha Noi","operational",30.6353514556048,"polygon",1,"https://www.openstreetmap.org/way/676033260"
"osm_way_642234178","Khu công nghiệp Nội Bài",NA,"industrial_park","Ha Noi","operational",114.829842509182,"polygon",1,"https://www.openstreetmap.org/way/642234178"
"osm_way_842611500","Khu công nghiệp Phú Nghĩa",NA,"industrial_park","Ha Noi","operational",172.69250577749,"polygon",1,"https://www.openstreetmap.org/way/842611500"
"osm_relation_17047068","Khu công nghiệp Phú Nghĩa - Nam Thăng Long","Phu Nghia Industrial Park - Nam Thang Long Bus Interchange","industrial_park","Ha Noi","unknown",NA,"point",1,"https://www.openstreetmap.org/relation/17047068"
"osm_way_597870255","Khu công nghiệp Quang Minh",NA,"industrial_park","Ha Noi","operational",314.7574719756,"polygon",1,"https://www.openstreetmap.org/way/597870255"
"osm_way_28475336","Khu công nghiệp Sài Đồng B","Sai Dong B Industrial Park","industrial_park","Ha Noi","operational",68.0184330674637,"polygon",1,"https://www.openstreetmap.org/way/28475336"
"osm_relation_16130747","Khu công nghiệp Thạch Thất - Quốc Oai",NA,"industrial_park","Ha Noi","operational",157.284620870284,"polygon",1,"https://www.openstreetmap.org/relation/16130747"
"osm_way_1524898082","Khu công nghiệp Vĩnh Hoàng",NA,"industrial_park","Ha Noi","operational",1.37460324520361,"polygon",1,"https://www.openstreetmap.org/way/1524898082"
"osm_way_1487151130","Khu công nghiệp Chu Trinh",NA,"industrial_park","Cao Bang","operational",56.4632906339218,"polygon",1,"https://www.openstreetmap.org/way/1487151130"
"osm_way_1417711908","Khu công nghiệp Bình Vàng",NA,"industrial_park","Tuyen Quang","operational",105.848322744353,"polygon",1,"https://www.openstreetmap.org/way/1417711908"
"osm_way_886686184","Cụm Công nghiệp Việt Cường 1",NA,"industrial_cluster","Thai Nguyen","operational",17.4973010640734,"polygon",1,"https://www.openstreetmap.org/way/886686184"
"osm_way_886686617","Cụm Công nghiệp Việt Cường 2",NA,"industrial_cluster","Thai Nguyen","operational",29.9851955803964,"polygon",1,"https://www.openstreetmap.org/way/886686617"
"osm_way_595823815","Khu công nghiệp Điềm Thụy","Diem Thuy Industrial Zone","industrial_park","Thai Nguyen","operational",146.492949762461,"polygon",1,"https://www.openstreetmap.org/way/595823815"
"osm_way_483040802","Khu công nghiệp Gang Thép Thái Nguyên","Thái Nguyên Steel","industrial_park","Thai Nguyen","operational",220.15657986144,"polygon",1,"https://www.openstreetmap.org/way/483040802"
"osm_way_483072761","Khu công nghiệp Sông Công I",NA,"industrial_park","Thai Nguyen","operational",89.7219256706741,"polygon",2,"https://www.openstreetmap.org/way/483072761"
"osm_way_854769497","Khu công nghiệp Sông Công II","Song Cong II Industrial Park","industrial_park","Thai Nguyen","operational",238.641998271187,"polygon",1,"https://www.openstreetmap.org/way/854769497"
"osm_way_1137272848","Khu công nghiệp Thanh Bình",NA,"industrial_park","Thai Nguyen","operational",41.20006928092,"polygon",1,"https://www.openstreetmap.org/way/1137272848"
"osm_way_482837619","Khu công nghiệp Yên Bình","Yen Binh Industrial Zone","industrial_park","Thai Nguyen","operational",406.349164451297,"polygon",1,"https://www.openstreetmap.org/way/482837619"
"osm_relation_19873792","Cụm công nghiệp Phương Nam",NA,"industrial_cluster","Quang Ninh","operational",62.6786499457814,"polygon",1,"https://www.openstreetmap.org/relation/19873792"
"osm_way_1342598567","Khu công nghiệp Bắc Tiền Phong",NA,"industrial_park","Quang Ninh","operational",158.960814458779,"polygon",1,"https://www.openstreetmap.org/way/1342598567"
"osm_relation_19047910","Khu công nghiệp Cái Lân","Cái Lân Industrial Zone","industrial_park","Quang Ninh","operational",149.909104606652,"polygon",1,"https://www.openstreetmap.org/relation/19047910"
"osm_way_1183626964","Khu công nghiệp Đông Mai",NA,"industrial_park","Quang Ninh","operational",156.048083434357,"polygon",1,"https://www.openstreetmap.org/way/1183626964"
"osm_way_286780042","Khu công nghiệp Hải Hòa",NA,"industrial_park","Quang Ninh","operational",4.81706766322513,"polygon",1,"https://www.openstreetmap.org/way/286780042"
"osm_way_487991000","Khu công nghiệp Hải Yên",NA,"industrial_park","Quang Ninh","operational",86.5723631743395,"polygon",1,"https://www.openstreetmap.org/way/487991000"
"osm_way_1183626963","Khu công nghiệp Sông Khoai",NA,"industrial_park","Quang Ninh","operational",231.170098892456,"polygon",1,"https://www.openstreetmap.org/way/1183626963"
"osm_relation_19202928","Khu công nghiệp Việt Hưng",NA,"industrial_park","Quang Ninh","operational",78.6855712495475,"polygon",1,"https://www.openstreetmap.org/relation/19202928"
"osm_way_690896893","Texhong Vietnam Industrial Zone",NA,"industrial_park","Quang Ninh","operational",284.245365535179,"polygon",1,"https://www.openstreetmap.org/way/690896893"
"osm_way_1467206617","Cụm CN Thanh Vân - Bắc Giang",NA,"industrial_cluster","Bac Ninh","operational",55.9082493014662,"polygon",1,"https://www.openstreetmap.org/way/1467206617"
"osm_way_661161690","Cụm Công nghiệp Châu Khê",NA,"industrial_cluster","Bac Ninh","operational",14.0210706457206,"polygon",1,"https://www.openstreetmap.org/way/661161690"
"osm_way_875632633","Cụm công nghiệp Châu Phong",NA,"industrial_cluster","Bac Ninh","operational",48.4156737588538,"polygon",1,"https://www.openstreetmap.org/way/875632633"
"osm_way_661161689","Cụm Công nghiệp Đa Hội",NA,"industrial_cluster","Bac Ninh","operational",9.32724769741241,"polygon",1,"https://www.openstreetmap.org/way/661161689"
"osm_way_1265422060","Cụm công nghiệp đa nghề Đình Bảng",NA,"industrial_cluster","Bac Ninh","operational",14.7928681761134,"polygon",1,"https://www.openstreetmap.org/way/1265422060"
"osm_way_1328569917","Cụm công nghiệp dịch vụ làng nghề Apec Đa Hội",NA,"industrial_cluster","Bac Ninh","operational",14.7154154889939,"polygon",1,"https://www.openstreetmap.org/way/1328569917"
"osm_way_749744617","Cụm công nghiệp Đông Thọ",NA,"industrial_cluster","Bac Ninh","operational",60.3611405360701,"polygon",1,"https://www.openstreetmap.org/way/749744617"
"osm_node_12672420755","Cụm Công Nghiệp Eco",NA,"industrial_cluster","Bac Ninh","unknown",NA,"point",1,"https://www.openstreetmap.org/node/12672420755"
"osm_way_875632670","Cụm công nghiệp Khắc Niệm",NA,"industrial_cluster","Bac Ninh","operational",118.108533879403,"polygon",1,"https://www.openstreetmap.org/way/875632670"
"osm_way_1462757216","Cụm Công Nghiệp Làng Nghề Đại Bái (Nghề đồng)",NA,"industrial_cluster","Bac Ninh","operational",22.6578619700866,"polygon",1,"https://www.openstreetmap.org/way/1462757216"
"osm_way_1386085012","Cụm Công Nghiệp Mả Ông",NA,"industrial_cluster","Bac Ninh","operational",5.25921157131437,"polygon",1,"https://www.openstreetmap.org/way/1386085012"
"osm_way_628689959","Cụm công nghiệp Phong Khê",NA,"industrial_cluster","Bac Ninh","operational",18.4435275977643,"polygon",1,"https://www.openstreetmap.org/way/628689959"
"osm_way_1451542942","Cụm Công Nghiệp Phú Lâm",NA,"industrial_cluster","Bac Ninh","operational",23.8930712211891,"polygon",1,"https://www.openstreetmap.org/way/1451542942"
"osm_way_1461790201","Cụm Công Nghiệp Yên Lư",NA,"industrial_cluster","Bac Ninh","operational",453.133629370572,"polygon",1,"https://www.openstreetmap.org/way/1461790201"
"osm_way_1459341105","KCN Quế Võ II - giai đoạn 2",NA,"industrial_park","Bac Ninh","under_construction",238.709763771359,"polygon",1,"https://www.openstreetmap.org/way/1459341105"
"osm_relation_18888808","KCN VSIP - Chi Lăng",NA,"industrial_park","Bac Ninh","unknown",NA,"point",1,"https://www.openstreetmap.org/relation/18888808"
"osm_way_642268651","Khu công nghiệp Đại Đồng - Hoàn Sơn","Dai Dong - Hoan Son Industrial Park","industrial_park","Bac Ninh","operational",268.305566197955,"polygon",1,"https://www.openstreetmap.org/way/642268651"
"osm_way_597865634","Khu công nghiệp Đình Trám",NA,"industrial_park","Bac Ninh","operational",145.110267068774,"polygon",1,"https://www.openstreetmap.org/way/597865634"
"osm_way_1489181623","Khu Công nghiệp Gia Bình I",NA,"industrial_park","Bac Ninh","operational",316.726994024928,"polygon",1,"https://www.openstreetmap.org/way/1489181623"
"osm_way_1346104850","Khu công nghiệp Gia Bình II","Gia Binh II Industrial Zone","industrial_park","Bac Ninh","operational",250.934179929249,"polygon",1,"https://www.openstreetmap.org/way/1346104850"
"osm_way_642268658","Khu công nghiệp Hanaka",NA,"industrial_park","Bac Ninh","operational",48.7013925869306,"polygon",1,"https://www.openstreetmap.org/way/642268658"
"osm_way_1157349503","Khu công nghiệp Hoà Phú",NA,"industrial_park","Bac Ninh","operational",187.119215841688,"polygon",1,"https://www.openstreetmap.org/way/1157349503"
"osm_way_1265422032","Khu công nghiệp Nam Sơn - Hạp Lĩnh",NA,"industrial_park","Bac Ninh","operational",166.239855037487,"polygon",1,"https://www.openstreetmap.org/way/1265422032"
"osm_way_806896214","Khu công nghiệp Quang Châu",NA,"industrial_park","Bac Ninh","operational",433.498431802131,"polygon",1,"https://www.openstreetmap.org/way/806896214"
"osm_way_597872887","Khu công nghiệp Quế Võ","Que Vo Industrial Zone","industrial_park","Bac Ninh","operational",619.057603408648,"polygon",1,"https://www.openstreetmap.org/way/597872887"
"osm_way_597920929","Khu công nghiệp Quế Võ II",NA,"industrial_park","Bac Ninh","operational",126.881002211405,"polygon",1,"https://www.openstreetmap.org/way/597920929"
"osm_way_1184113104","Khu công nghiệp Quế Võ III",NA,"industrial_park","Bac Ninh","operational",139.124782527765,"polygon",1,"https://www.openstreetmap.org/way/1184113104"
"osm_way_1453949602","Khu Công nghiệp Quế Võ mở rộng 2",NA,"industrial_park","Bac Ninh","under_construction",173.735499878116,"polygon",1,"https://www.openstreetmap.org/way/1453949602"
"osm_relation_15646446","Khu công nghiệp Song Khê - Nội Hoàng",NA,"industrial_park","Bac Ninh","operational",171.244960341663,"polygon",1,"https://www.openstreetmap.org/relation/15646446"
"osm_way_1119170920","Khu công nghiệp Thuận Thành 2",NA,"industrial_park","Bac Ninh","operational",213.078214807741,"polygon",1,"https://www.openstreetmap.org/way/1119170920"
"osm_way_1119170923","Khu công nghiệp Thuận Thành 3",NA,"industrial_park","Bac Ninh","operational",107.734161169531,"polygon",1,"https://www.openstreetmap.org/way/1119170923"
"osm_way_1467190501","Khu công nghiệp Thuận Thành III",NA,"industrial_park","Bac Ninh","operational",294.14323694679,"polygon",1,"https://www.openstreetmap.org/way/1467190501"
"osm_way_28473576","Khu công nghiệp Tiên Sơn","Tien Son Industrial Park","industrial_park","Bac Ninh","operational",379.089387568136,"polygon",1,"https://www.openstreetmap.org/way/28473576"
"osm_way_704069818","Khu công nghiệp Vân Trung",NA,"industrial_park","Bac Ninh","operational",344.464402640192,"polygon",1,"https://www.openstreetmap.org/way/704069818"
