metric,value,unit,as_of,source,source_url
established_parks,478,parks,2025-11-16,"Foreign Investment Agency, Ministry of Finance, reported by Tap chi Kinh te - Tai chinh",https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html
established_parks_outside_economic_zones,421,parks,2025-11-16,"Foreign Investment Agency, Ministry of Finance, reported by Tap chi Kinh te - Tai chinh",https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html
established_parks_in_coastal_economic_zones,49,parks,2025-11-16,"Foreign Investment Agency, Ministry of Finance, reported by Tap chi Kinh te - Tai chinh",https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html
established_parks_in_border_gate_economic_zones,8,parks,2025-11-16,"Foreign Investment Agency, Ministry of Finance, reported by Tap chi Kinh te - Tai chinh",https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html
operational_parks,324,parks,2025-11-16,"Foreign Investment Agency, Ministry of Finance, reported by Tap chi Kinh te - Tai chinh",https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html
under_construction_parks,153,parks,2025-11-16,"Foreign Investment Agency, Ministry of Finance, reported by Tap chi Kinh te - Tai chinh",https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html
established_area_ha,145970,hectares,2025-11-16,"Foreign Investment Agency, Ministry of Finance, reported by Tap chi Kinh te - Tai chinh",https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html
operational_area_ha,95700,hectares,2025-11-16,"Foreign Investment Agency, Ministry of Finance, reported by Tap chi Kinh te - Tai chinh",https://tapchikinhtetaichinh.vn/ca-nuoc-co-478-khu-cong-nghiep-da-di-vao-hoat-dong-voi-ty-le-lap-day-cao-102742.html
