"zone_type","vintage","official_count","scope","source_url"
"coastal_economic_zone",2023-10-26,18,"national","https://fileportalcms.mpi.gov.vn/TinBai/VanBan/2023-11/02.%20Bao%20cao%20Tom%20tat%20QHTTQG%20-%20Hoan%20thien%20theo%20NQ81.pdf"
"coastal_economic_zone",2025-10-29,20,"national","https://tphcm.chinhphu.vn/bat-dong-san-cong-nghiep-viet-nam-vung-vi-the-don-chuyen-dong-101251029184041238.htm"
"border_gate_economic_zone",2025-10-29,26,"national","https://tphcm.chinhphu.vn/bat-dong-san-cong-nghiep-viet-nam-vung-vi-the-don-chuyen-dong-101251029184041238.htm"
