"source_record_id","name_vi","category","province_code","source","source_url","retrieved_on","location_text","reported_longitude","reported_latitude","key","province_source_url","province_match_method","map_id","match_method","coordinate_available","legal_status","review_status","candidate_map_ids","candidate_match_method","latitude","longitude","coordinate_source_url","reported_coordinate_check"
"investvietnam-21","Kcn Song khê - Nội hoàng mở rộng","industrial_park",,"Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-song-khe---noi-hoang-mo-rong.html","2026-09-10","12",,,"song khe noi hoang mo rong",,"unknown",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-22","KHU CÔNG NGHIỆP SONG KHÊ – NỘI HOÀNG (KHU PHÍA BẮC)","industrial_park","24","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-song-khe-–-noi-hoang-khu-phia-bac.html","2026-09-10","KCN Sông Khê - Nội Hoàng thuộc tỉnh Bắc Giang, một tỉnh nằm trong hành lang kinh tế: Nam Ninh (Trung Quốc) - Lạng Sơn - Hà Nội - Hải Phòng - Quảng Ninh, tiếp giáp với vùng kinh tế trọng điểm phía Bắc Việt Nam.",,,"song khe noi hoang khu phia bac","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-song-khe-–-noi-hoang-khu-phia-bac.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-23","KCN Quang Châu","industrial_park","22","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/kcn-quang-chau.html","2026-09-10","Tiếp giáp với quốc lộ 1A mới và sông Cầu, khoảng cách từ khu công nghiệp này đến thành phố Bắc Giang là 15 km, đến thủ đô Hà Nội và sân bay quốc tế Nội Bà là 35 km; đến Cảng Hải Phòng là 105 km, đến Cửa khẩu Hữu Nghị là 125 km và đến cảng nước sâu Cái Lân tỉnh Quảng Ninh là 115 km.",,,"quang chau","https://investvietnam.gov.vn/vi/kcn.pd/kcn-quang-chau.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-26","KHU CÔNG NGHIỆP THANH BÌNH","industrial_park","75","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-thanh-binh.html","2026-09-10","Có vị trí nằm tại xã Thanh Bình, Chợ Mới, Bắc Kạn, KCN Thanh Bình nằm trong quy hoạch phát triển các khu công nghiệp Việt Nam, được đầu tư đồng bộ: cấp nước, điện, hệ thống xử lý nước thải tập trung, hệ thống đường giao thông nội bộ, hệ thống thông tin liên lạc",,,"thanh binh","https://kcn-kkt.com/kcn/kcn-thanh-binh","unique_discovery_name_province_unverified",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-27","KCN khu kinh tế cửa khẩu Tà Lùng","industrial_park","04","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/cao-bang---kcn-khu-kinh-te-cua-khau-ta-lung.html","2026-09-10",,,,"khu kinh te cua khau ta lung","https://investvietnam.gov.vn/vi/kcn.pd/cao-bang---kcn-khu-kinh-te-cua-khau-ta-lung.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-28","KCN Lạc Thịnh","industrial_park","25","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/hoa-binh---kcn-lac-thinh.html","2026-09-10",,,,"lac thinh","https://investvietnam.gov.vn/vi/kcn.pd/hoa-binh---kcn-lac-thinh.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-29","KCN Nhuận Trạch","industrial_park","25","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/hoa-binh---kcn-nhuan-trach.html","2026-09-10","Xã Nhuận Trạch, huyện Lương Sơn, tỉnh Hòa Bình",,,"nhuan trach","https://investvietnam.gov.vn/vi/kcn.pd/hoa-binh---kcn-nhuan-trach.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-31","KCN Thanh Hà","industrial_park","25","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/hoa-binh---kcn-thanh-ha.html","2026-09-10",,,,"thanh ha","https://investvietnam.gov.vn/vi/kcn.pd/hoa-binh---kcn-thanh-ha.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-32","KCN Yên Quang","industrial_park","25","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/hoa-binh---kcn-yen-quang.html","2026-09-10",,,,"yen quang","https://investvietnam.gov.vn/vi/kcn.pd/hoa-binh---kcn-yen-quang.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-34","KCN Nam Lương Sơn","industrial_park","25","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/hoa-binh---kcn-nam-luong-son.html","2026-09-10",,,,"nam luong son","https://investvietnam.gov.vn/vi/kcn.pd/hoa-binh---kcn-nam-luong-son.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-37","KCN Khu kinh tế cửa khẩu Lào Cai","industrial_park","15","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/lao-cai---kcn-khu-kinh-te-cua-khau-lao-cai.html","2026-09-10",,,,"khu kinh te cua khau lao cai","https://investvietnam.gov.vn/vi/kcn.pd/lao-cai---kcn-khu-kinh-te-cua-khau-lao-cai.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-38","KCN Đông Phố Mới","industrial_park","15","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/lao-cai---kcn-dong-pho-moi.html","2026-09-10","Vạn Hòa và Phường Phố Mới thành phố Lào Cai",,,"dong pho moi","https://investvietnam.gov.vn/vi/kcn.pd/lao-cai---kcn-dong-pho-moi.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-39","KCN Tam Nông","industrial_park","25","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/phu-tho---kcn-tam-nong.html","2026-09-10",,,,"tam nong","https://investvietnam.gov.vn/vi/kcn.pd/phu-tho---kcn-tam-nong.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-42","KCN Mai Sơn","industrial_park","14","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/son-la---kcn-mai-son.html","2026-09-10","Xã Mường Bằng, huyện Mai Sơn, tỉnh Sơn La",,,"mai son","https://investvietnam.gov.vn/vi/kcn.pd/son-la---kcn-mai-son.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-43","KCN Quyết Thắng","industrial_park","19","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/thai-nguyen---kcn-quyet-thang.html","2026-09-10",,,,"quyet thang","https://investvietnam.gov.vn/vi/kcn.pd/thai-nguyen---kcn-quyet-thang.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-45","KCN Bỉm Sơn B","industrial_park","38","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/thanh-hoa---kcn-bim-son-b.html","2026-09-10","Nằm ven quốc lộ 1A, địa phận giáp ranh giữa tỉnh Thanh Hóa và tỉnh Ninh Bình",,,"bim son b","https://investvietnam.gov.vn/vi/kcn.pd/thanh-hoa---kcn-bim-son-b.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
"investvietnam-46","KCN Đình Hương - Tây Ga","industrial_park","38","Invest Vietnam","https://investvietnam.gov.vn/vi/kcn.pd/thanh-hoa---kcn-dinh-huong---tay-ga.html","2026-09-10",,,,"dinh huong tay ga","https://investvietnam.gov.vn/vi/kcn.pd/thanh-hoa---kcn-dinh-huong---tay-ga.html","official_location_or_url_prefix",,"unresolved",FALSE,"not_verified","needs_identity_or_location_review",,,,,,"not_reported"
