file,md5,source_snapshot
osm-transport-facilities-2026-08-11.json,41f7cd7aaf2d53e7352a9e751014bc57,OSM base 2026-07-09T00:07:45Z
osm-trunk-lines-2026-08-10.rds,c21c8f1a686868de4a630514bb2ff036,Geofabrik vietnam-260810.osm.pbf MD5 8d79d8ca13e45a733d15504b9a9c84dc
