"park_id","source_id","name_vi","source_url","longitude","latitude","coordinate_available","coordinate_source","coordinate_source_url","coordinate_match_method","coordinate_confidence","old_iso","old_province_code","old_province_name_vi","old_province_name_en","province_code","province_name_vi","province_name_en","source","source_page","retrieved_on"
"investvietnam-219","219","Khu công nghiệp Thành Thành Công/ Thanh Thanh Cong Industrial Zone","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-thanh-thanh-cong-thanh-thanh-cong-industrial-zone.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-679","679","Khu công nghiệp Thốt Nốt","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-thot-not.html",105.4932936,10.3166148,TRUE,"OpenStreetMap","https://www.openstreetmap.org/way/773079170","unique_normalized_name_exact","high","VN-CT","92","Cần Thơ","Can Tho","92","Cần Thơ","Can Tho","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-641","641","Khu công nghiệp Trà Đa","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-tra-da.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-710","710","Khu công nghiệp Trà Kha","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-tra-kha.html",105.6942623,9.301927,TRUE,"OpenStreetMap","https://www.openstreetmap.org/way/1041342437","unique_normalized_name_exact","high","VN-55","95","Bạc Liêu","Bac Lieu","96","Cà Mau","Ca Mau","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-684","684","Khu công nghiệp Trà Nóc 2","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-tra-noc-2.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-653","653","Khu công nghiệp Trần Đề","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-tran-de.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-297","297","Khu Công Nghiệp Trần Quốc Toản","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-tran-quoc-toan.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-350","350","Khu công nghiệp Tuy Phong","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-tuy-phong.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-20","20","KHU CÔNG NGHIỆP VÂN TRUNG","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-van-trung.html",106.141435,21.2429141,TRUE,"OpenStreetMap","https://www.openstreetmap.org/way/704069818","unique_normalized_name_exact","high","VN-56","27","Bắc Ninh","Bac Ninh","24","Bắc Ninh","Bac Ninh","Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
"investvietnam-228","228","Khu Công nghiệp Việt Hương 1","https://investvietnam.gov.vn/vi/kcn.pd/khu-cong-nghiep-viet-huong-1.html",,,FALSE,,,,,,,,,,,,"Invest Vietnam industrial-zone map","https://investvietnam.gov.vn/vi/khu-cong-nghiep.pl.html",2026-08-28
